Hiragana,Romaji,Kanji,English_Meaning,Example
しょうかい,shoukai,紹介,introduction,紹介…しょうかい
しょうがい,shougai,生涯,one's lifetime (i.e.  one's existance until death),生涯…しょうがい
しょうがい,shougai,障害,obstacle;impediment (fault),障害…しょうがい
しょうがくきん,shougakukin,奨学金,scholarship,奨学金…しょうがくきん
しょうがくせい,shougakusei,小学生,grade school student,小学生…しょうがくせい
しょうがっこう,shougakkou,小学校,primary school;elementary school,小学校…しょうがっこう
しょうがつ,shougatsu,正月,New Year;New Year's Day;the first month;January,正月…しょうがつ
しょうきょ,shoukyo,消去,elimination;erasing;dying out;melting away,消去…しょうきょ
しょうきょくてき,shoukyokuteki,消極的,passive,消極的…しょうきょくてき
しょうきん,shoukin,賞金,prize;monetary award,賞金…しょうきん
しょうぎ,shougi,将棋,Japanese chess,将棋…しょうぎ
しょうぎょう,shougyou,商業,commerce;trade;business,商業…しょうぎょう
しょうげき,shougeki,衝撃,shock;crash;impact;ballistic,衝撃…しょうげき
しょうげん,shougen,証言,evidence;testimony,証言…しょうげん
しょうこ,shouko,証拠,evidence;proof,証拠…しょうこ
しょうこう,shoukou,消耗,exhaustion;consumption,消耗…しょうこう
しょうご,shougo,正午,noon;mid-day,正午…しょうご
しょうごう,shougou,照合,collation;comparison,照合…しょうごう
しょうさい,shousai,詳細,detail;particulars,詳細…しょうさい
しょうしゃ,shousha,商社,trading company;firm,商社…しょうしゃ
しょうしょう,shoushou,少々,just a minute;small quantity,少々…しょうしょう
しょうしん,shoushin,昇進,promotion,昇進…しょうしん
しょうじ,shouji,障子,paper sliding door,障子…しょうじ
しょうじき,shoujiki,正直,honesty;integrity;frankness,正直…しょうじき
しょうじょう,shoujyou,症状,symptoms;condition,症状…しょうじょう
しょうじる,shoujiru,生じる,to produce;to yield;to result from;to arise;to be generated,生じる…しょうじる
しょうすう,shousuu,少数,minority;few,少数…しょうすう
しょうする,shousuru,称する,to pretend;to take the name of;to feign;to purport,称する…しょうする
しょうせつ,shousetsu,小説,novel;story,小説…しょうせつ
しょうそく,shousoku,消息,news;letter;circumstances,消息…しょうそく
しょうたい,shoutai,正体,natural shape;one's true colors;true character;consciousness;senses,正体…しょうたい
しょうたい,shoutai,招待,invitation,招待…しょうたい
しょうだく,shoudaku,承諾,consent;acquiescence;agreement,承諾…しょうだく
しょうち,shouchi,承知,consent;acceptance;assent;admitting;acknowledgment;compliance;agreement;awareness,承知…しょうち
しょうちょう,shouchou,象徴,symbol,象徴…しょうちょう
しょうてん,shouten,商店,shop;business firm,商店…しょうてん
しょうてん,shouten,焦点,focus;point,焦点…しょうてん
しょうとつ,shoutotsu,衝突,collision;conflict,衝突…しょうとつ
しょうどく,shoudoku,消毒,disinfection;sterilization,消毒…しょうどく
しょうにか,shounika,小児科,pediatrics,小児科…しょうにか
しょうにん,shounin,証人,witness,証人…しょうにん
しょうにん,shounin,承認,recognition;acknowledgement;approval;consent;agreement,承認…しょうにん
しょうねん,shounen,少年,boys;juveniles,少年…しょうねん
しょうはい,shouhai,勝敗,victory or defeat;issue (of battle),勝敗…しょうはい
しょうばい,shoubai,商売,trade;business;commerce;transaction;occupation,商売…しょうばい
しょうひ,shouhi,消費,consumption;expenditure,消費…しょうひ
しょうひん,shouhin,商品,commodity;article of commerce;goods;stock;merchandise,商品…しょうひん
しょうひん,shouhin,賞品,prize;trophy,賞品…しょうひん
しょうぶ,shoubu,勝負,victory or defeat;match;contest;game;bout,勝負…しょうぶ
しょうべん,shouben,小便,urine;piss,小便…しょうべん
しょうぼう,shoubou,消防,fire fighting;fire department,消防…しょうぼう
しょうぼうしょ,shoubousho,消防署,fire station,消防署…しょうぼうしょ
しょうみ,shoumi,正味,net (weight),正味…しょうみ
しょうめい,shoumei,照明,illumination,照明…しょうめい
しょうめい,shoumei,証明,proof;verification,証明…しょうめい
しょうめん,shoumen,正面,front;frontage;facade;main,正面…しょうめん
しょうゆ,shouyu,醤油,soy sauce,醤油…しょうゆ
しょうらい,shourai,将来,future;prospects,将来…しょうらい
しょうり,shouri,勝利,victory;triumph;conquest;success;win,勝利…しょうり
しょうりゃく,shouryaku,省略,omission;abbreviation;abridgment,省略…しょうりゃく
しょうれい,shourei,奨励,encouragement;promotion;message;address,奨励…しょうれい
しょきゅう,shokyuu,初級,elementary level,初級…しょきゅう
しょく,shoku,職,employment,職…しょく
しょくいん,shokuin,職員,staff member;personnel,職員…しょくいん
しょくえん,shokuen,食塩,table salt,食塩…しょくえん
しょくぎょう,shokugyou,職業,occupation;business,職業…しょくぎょう
しょくじ,shokuji,食事,meal,食事…しょくじ
しょくたく,shokutaku,食卓,dining table,食卓…しょくたく
しょくどう,shokudou,食堂,cafeteria;dining hall,食堂…しょくどう
しょくにん,shokunin,職人,worker;mechanic;artisan;craftsman,職人…しょくにん
しょくば,shokuba,職場,one's post;place of work;workplace,職場…しょくば
しょくひん,shokuhin,食品,commodity;foodstuff,食品…しょくひん
しょくぶつ,shokubutsu,植物,plant;vegetation,植物…しょくぶつ
しょくみんち,shokuminchi,植民地,colony,植民地…しょくみんち
しょくむ,shokumu,職務,professional duties,職務…しょくむ
しょくもつ,shokumotsu,食物,food;foodstuff,食物…しょくもつ
しょくよく,shokuyoku,食欲,appetite (for food),食欲…しょくよく
しょくりょう,shokuryou,食料,food,食料…しょくりょう
しょくん,shokun,諸君,Gentlemen!;Ladies!,諸君…しょくん
しょさい,shosai,書斎,study,書斎…しょさい
しょざい,shozai,所在,whereabouts,所在…しょざい
しょしょ,shosho,所々,here and there;some parts (of something),所々…しょしょ
しょじ,shoji,所持,possession;owning,所持…しょじ
しょじゅん,shojyun,初旬,first 10 days of the month,初旬…しょじゅん
しょせき,shoseki,書籍,book;publication,書籍…しょせき
しょぞく,shozoku,所属,attached to;belong to,所属…しょぞく
しょち,shochi,処置,treatment,処置…しょち
しょっき,shoki,食器,tableware,食器…しょっき
しょっちゅう,shochuu,,always;constantly,…しょっちゅう
しょてい,shotei,所定,fixed;prescribed,所定…しょてい
しょてん,shoten,書店,bookshop,書店…しょてん
しょとく,shotoku,所得,income;earnings,所得…しょとく
しょどう,shodou,書道,calligraphy,書道…しょどう
しょはん,shohan,初版,first edition,初版…しょはん
しょばつ,shobatsu,処罰,punishment,処罰…しょばつ
しょひょう,shohyou,書評,book review,書評…しょひょう
しょぶん,shobun,処分,disposal;dealing;punishment,処分…しょぶん
しょほ,shoho,初歩,elements;rudiments;ABC's of..,初歩…しょほ
しょみん,shomin,庶民,masses;common people,庶民…しょみん
しょむ,shomu,庶務,general affairs,庶務…しょむ
しょめい,shomei,署名,signature,署名…しょめい
しょもつ,shomotsu,書物,books,書物…しょもつ
しょゆう,shoyuu,所有,one's possessions;ownership,所有…しょゆう
しょり,shori,処理,processing;dealing with;treatment;disposition;disposal,処理…しょり
しょるい,shorui,書類,documents;official papers,書類…しょるい
しよう,shiyou,私用,personal use;private business,私用…しよう
しよう,shiyou,仕様,way;method;resource;remedy;(technical) specification,仕様…しよう
しよう,shiyou,使用,use;application;employment;utilization,使用…しよう
しようにん,shiyounin,使用人,employee;servant,使用人…しようにん
しらが,shiraga,白髪,white or grey hair;trendy hair bleaching,白髪…しらが
しらせ,shirase,知らせ,notice,知らせ…しらせ
しらせる,shiraseru,知らせる,to notify;to advise,知らせる…しらせる
しらべ,shirabe,調べ,preparation;investigation;inspection,調べ…しらべ
しらべる,shiraberu,調べる,to investigate;to check up,調べる…しらべる
しり,shiri,尻,buttocks;bottom,尻…しり
しりあい,shiriai,知り合い,acquaintance,知り合い…しりあい
しりぞく,shirizoku,退く,to retreat;to recede;to withdraw,退く…しりぞく
しりぞける,shirizokeru,退ける,to repel;to drive away,退ける…しりぞける
しりつ,shiritsu,私立,private (establishment),私立…しりつ
しりょう,shiryou,資料,materials;data,資料…しりょう
しる,shiru,汁,juice;sap;soup;broth,汁…しる
しる,shiru,知る,to know;to understand;to be acquainted with;to feel,知る…しる
しるす,shirusu,記す,to note;to write down,記す…しるす
しれい,shirei,指令,orders;instructions;directive,指令…しれい
しろ,shiro,白,white,白…しろ
しろ,shiro,城,castle,城…しろ
しろ,shiro,代,price;materials;substitution,代…しろ
しろい,shiroi,白い,white,白い…しろい
しろうと,shirouto,素人,amateur;novice,素人…しろうと
しわ,shiwa,皺,wrinkles;creases,皺…しわ
しん,shin,芯,core;heart;wick;marrow,芯…しん
しん,shin,新,new,新…しん
しんか,shinka,進化,evolution;progress,進化…しんか
しんかんせん,shinkansen,新幹線,bullet train (very high speed);shinkansen,新幹線…しんかんせん
しんがく,shingaku,進学,going on to university,進学…しんがく
しんがり,shingari,殿,rear;rear unit guard,殿…しんがり
しんぎ,shingi,審議,deliberation,審議…しんぎ
しんくう,shinkuu,真空,vacuum;hollow;empty,真空…しんくう
しんけい,shinkei,神経,nerve;sensitivity,神経…しんけい
しんけん,shinken,真剣,seriousness;earnestness,真剣…しんけん
しんこう,shinkou,進行,advance,進行…しんこう
しんこう,shinkou,新興,rising;developing;emergent,新興…しんこう
しんこう,shinkou,振興,promotion;encouragement,振興…しんこう
しんこう,shinkou,信仰,(religious) faith;belief;creed,信仰…しんこう
しんこく,shinkoku,申告,report;statement;filing a return;notification,申告…しんこく
しんこく,shinkoku,深刻,serious,深刻…しんこく
しんこん,shinkon,新婚,newly-wed,新婚…しんこん
しんごう,shingou,信号,traffic lights;signal;semaphore,信号…しんごう
しんさ,shinsa,審査,judging;inspection;examination;investigation,審査…しんさ
しんさつ,shinsatsu,診察,medical examination,診察…しんさつ
しんし,shinshi,紳士,gentleman,紳士…しんし
しんしゅつ,shinshutsu,進出,advance;step forward,進出…しんしゅつ
しんしん,shinshin,心身,mind and body,心身…しんしん
しんじゃ,shinjya,信者,believer;adherent;devotee;Christian,信者…しんじゃ
しんじゅ,shinjyu,真珠,pearl,真珠…しんじゅ
しんじゅう,shinjyuu,心中,double suicide;lovers suicide,心中…しんじゅう
しんじょう,shinjyou,心情,mentality,心情…しんじょう
しんじる,shinjiru,信じる,to believe;to believe in;to place trust in;to confide in;to have faith in,信じる…しんじる
しんじん,shinjin,新人,new face;newcomer,新人…しんじん
しんずる,shinzuru,信ずる,to believe;to believe in;to place trust in;to confide in;to have faith in,信ずる…しんずる
しんせい,shinsei,申請,application;request;petition,申請…しんせい
しんせい,shinsei,神聖,holiness;sacredness;dignity,神聖…しんせい
しんせき,shinseki,親戚,relative,親戚…しんせき
しんせつ,shinsetsu,親切,kindness;gentleness,親切…しんせつ
しんせん,shinsen,新鮮,fresh,新鮮…しんせん
しんぜん,shinzen,親善,friendship,親善…しんぜん
しんそう,shinsou,真相,truth;real situation,真相…しんそう
しんぞう,shinzou,心臓,heart,心臓…しんぞう
しんだい,shindai,寝台,bed;couch,寝台…しんだい
しんだん,shindan,診断,diagnosis,診断…しんだん
しんちく,shinchiku,新築,new building;new construction,新築…しんちく
しんちょう,shinchou,慎重,discretion;prudence,慎重…しんちょう
しんちょう,shinchou,身長,height (of body);stature,身長…しんちょう
しんてい,shintei,進呈,presentation,進呈…しんてい
しんてん,shinten,進展,progress;development,進展…しんてん
しんでん,shinden,神殿,temple;sacred place,神殿…しんでん
しんど,shindo,進度,progress,進度…しんど
しんどう,shindou,振動,oscillation;vibration,振動…しんどう
しんにゅう,shinnyuu,侵入,penetration;invasion;raid;aggression;trespass,侵入…しんにゅう
しんにゅうせい,shinnyuusei,新入生,freshman;first-year student,新入生…しんにゅうせい
しんにん,shinnin,信任,trust;confidence;credence,信任…しんにん
しんばん,shinban,審判,refereeing;trial;judgement;umpire;referee,審判…しんばん
しんぱい,shinpai,心配,worry;concern;anxiety;care,心配…しんぱい
しんぴ,shinpi,神秘,mystery,神秘…しんぴ
しんぶん,shinbun,新聞,newspaper,新聞…しんぶん
しんぼう,shinbou,辛抱,patience;endurance,辛抱…しんぼう
しんぽ,shinpo,進歩,progress;development,進歩…しんぽ
しんめんもく,shinmenmoku,真面目,one's true character;oneself;seriousness;earnestness,真面目…しんめんもく
しんや,shinya,深夜,late at night,深夜…しんや
しんゆう,shinyuu,親友,close friend;bosom (old  intimate) friend;buddy;crony;chum,親友…しんゆう
しんよう,shinyou,信用,confidence;dependence;credit;faith;reliance;belief;credence,信用…しんよう
しんらい,shinrai,信頼,reliance;trust;confidence,信頼…しんらい
しんり,shinri,真理,truth,真理…しんり
しんり,shinri,心理,mentality,心理…しんり
しんりゃく,shinryaku,侵略,aggression;invasion;raid,侵略…しんりゃく
しんりょう,shinryou,診療,medical examination and treatment;diagnosis,診療…しんりょう
しんりん,shinrin,森林,forest;woods,森林…しんりん
しんるい,shinrui,親類,relation;kin,親類…しんるい
しんろ,shinro,進路,course;route,進路…しんろ
しんわ,shinwa,神話,myth;legend,神話…しんわ
じいん,jiin,寺院,temple,寺院…じいん
じえい,jiei,自衛,self-defense,自衛…じえい
じかく,jikaku,自覚,self-conscious,自覚…じかく
じかた,jikata,地方,area;locality;district;region;the coast,地方…じかた
じかに,jikani,直に,directly;in person;headlong,直に…じかに
じかん,jikan,時間,time,時間…じかん
じかん,jikan,時間,time,時間…じかん
じかんわり,jikanwari,時間割,timetable;schedule,時間割…じかんわり
じが,jiga,自我,self;the ego,自我…じが
じき,jiki,磁気,magnetism,磁気…じき
じき,jiki,磁器,porcelain;china,磁器…じき
じき,jiki,直,direct;in person;soon;at once;just;near by;honesty;frankness;simplicity;cheerfulness;correctness;being straight;night duty,直…じき
じき,jiki,時期,time;season;period,時期…じき
じぎょう,jigyou,事業,project;enterprise;business;industry;operations,事業…じぎょう
じぎょう,jigyou,地形,terrain;geographical features;topography,地形…じぎょう
じく,jiku,軸,axis;stem;shaft;axle,軸…じく
じけん,jiken,事件,event;affair;incident;case;plot;trouble;scandal,事件…じけん
じこ,jiko,自己,self;oneself,自己…じこ
じこ,jiko,事故,accident;incident;trouble;circumstances;reasons,事故…じこ
じこう,jikou,事項,matter;item;facts,事項…じこう
じこく,jikoku,時刻,instant;time;moment,時刻…じこく
じこくひょう,jikokuhyou,時刻表,table;diagram;chart;timetable;schedule,時刻表…じこくひょう
じごく,jigoku,地獄,hell,地獄…じごく
じさ,jisa,時差,time difference,時差…じさ
じさつ,jisatsu,自殺,suicide,自殺…じさつ
じさん,jisan,持参,bringing;taking;carrying,持参…じさん
じざい,jizai,自在,freely;at will,自在…じざい
じしゃく,jishaku,磁石,magnet,磁石…じしゃく
じしゅ,jishu,自主,independence;autonomy,自主…じしゅ
じしゅ,jishu,自首,surrender;give oneself up,自首…じしゅ
じしゅう,jishuu,自習,self-study,自習…じしゅう
じしょ,jisho,辞書,dictionary;lexicon,辞書…じしょ
じしょく,jishoku,辞職,resignation,辞職…じしょく
じしん,jishin,自信,self-confidence,自信…じしん
じしん,jishin,自身,by oneself;personally,自身…じしん
じしん,jishin,地震,earthquake,地震…じしん
じじつ,jijitsu,事実,fact;truth;reality,事実…じじつ
じじょう,jijyou,事情,circumstances;consideration;conditions;situation;reasons,事情…じじょう
じぜん,jizen,事前,prior;beforehand;in advance,事前…じぜん
じそく,jisoku,時速,speed (per hour),時速…じそく
じそんしん,jisonshin,自尊心,self-respect;conceit,自尊心…じそんしん
じぞく,jizoku,持続,continuation,持続…じぞく
じたい,jitai,字体,type;font;lettering,字体…じたい
じたい,jitai,辞退,refusal,辞退…じたい
じたい,jitai,事態,situation;present state of affairs;circumstances,事態…じたい
じたく,jitaku,自宅,one's home,自宅…じたく
じだい,jidai,時代,period;epoch;era,時代…じだい
じち,jichi,自治,self-government;autonomy,自治…じち
じっか,jika,実家,(one's parents') home,実家…じっか
じっかん,jikkan,実感,feelings (actual  true),実感…じっかん
じっくり,jikkuri,,deliberately;carefully,…じっくり
じっけん,jikken,実験,experiment,実験…じっけん
じっこう,jikkou,実行,practice;performance;execution (e.g. program);realization,実行…じっこう
じっさい,jissai,実際,practical;actual condition;status quo,実際…じっさい
じっし,jishi,実施,enforcement;enact;put into practice;carry out;operation,実施…じっし
じっしつ,jisshitsu,実質,substance;essence,実質…じっしつ
じっしゅう,jishuu,実習,practice;training,実習…じっしゅう
じっせき,jisseki,実績,achievements;actual results,実績…じっせき
じっせん,jissen,実践,practice;put into practice,実践…じっせん
じったい,jittai,実態,truth;fact,実態…じったい
じっと,jito,,fixedly;firmly;patiently;quietly,…じっと
じっぴ,jipi,実費,actual expense;cost price,実費…じっぴ
じっぷん,jippun,十分,10 minutes,十分…じっぷん
じつ,jitsu,実,truth;reality;sincerity;fidelity;kindness;faith;substance;essence,実…じつ
じつ,jitsu,実,truth;reality;sincerity;fidelity;kindness;faith;substance;essence,実…じつ
じつぎょうか,jitsugyouka,実業家,industrialist;businessman,実業家…じつぎょうか
じつげん,jitsugen,実現,implementation;materialization;realization,実現…じつげん
じつじょう,jitsujyou,実情,real condition;actual circumstances;actual state of affairs,実情…じつじょう
じつに,jitsuni,実に,indeed;truly;surely,実に…じつに
じつは,jitsuha,実は,as a matter of fact;by the way,実は…じつは
じつぶつ,jitsubutsu,実物,real thing;original,実物…じつぶつ
じつよう,jitsuyou,実用,practical use;utility,実用…じつよう
じつりょく,jitsuryoku,実力,merit;efficiency;arms;force,実力…じつりょく
じつれい,jitsurei,実例,example;illustration,実例…じつれい
じてん,jiten,自転,rotation;spin,自転…じてん
じてん,jiten,辞典,dictionary,辞典…じてん
じてんしゃ,jitensha,自転車,bicycle,自転車…じてんしゃ
じどう,jidou,自動,automatic;self-motion,自動…じどう
じどう,jidou,児童,children;juvenile,児童…じどう
じどうし,jidoushi,自動詞,intransitive verb (no direct obj),自動詞…じどうし
じどうしゃ,jidousha,自動車,automobile,自動車…じどうしゃ
じぬし,jinushi,地主,landlord,地主…じぬし
じばん,jiban,地盤,(the) ground,地盤…じばん
じびか,jibika,耳鼻科,otolaryngology,耳鼻科…じびか
じびき,jibiki,字引,dictionary,字引…じびき
じぶん,jibun,自分,myself;oneself,自分…じぶん
じまん,jiman,自慢,pride;boast,自慢…じまん
じみ,jimi,地味,plain;simple,地味…じみ
じむ,jimu,事務,business;office work,事務…じむ
じめん,jimen,地面,ground;earth's surface,地面…じめん
じもと,jimoto,地元,local,地元…じもと
じゃく,jyaku,弱,weakness;the weak;little less then,弱…じゃく
じゃくてん,jyakuten,弱点,weak point;weakness,弱点…じゃくてん
じゃぐち,jyaguchi,蛇口,faucet;tap,蛇口…じゃぐち
じゃっかん,jyakkan,若干,some;few;number of,若干…じゃっかん
じゃま,jyama,邪魔,hindrance;intrusion,邪魔…じゃま
じゃり,jyari,砂利,gravel;ballast;pebbles,砂利…じゃり
じゃんけん,jyanken,じゃん拳,rock-scissors-paper game,じゃん拳…じゃんけん
じゅう,jyuu,住,dwelling;living,住…じゅう
じゅう,jyuu,十,(num) 10;ten,十…じゅう
じゅう,jyuu,十,(num) 10;ten,十…じゅう
じゅうきょ,jyuukyo,住居,dwelling;house;residence;address,住居…じゅうきょ
じゅうぎょういん,jyuugyouin,従業員,employee;worker,従業員…じゅうぎょういん
じゅうし,jyuushi,重視,importance;stress;serious consideration,重視…じゅうし
じゅうしょ,jyuusho,住所,address (e.g. of house);residence;domicile,住所…じゅうしょ
じゅうじ,jyuuji,従事,engaging;pursuing;following,従事…じゅうじ
じゅうじつ,jyuujitsu,充実,fullness;completion;perfection;substantiality;enrichment,充実…じゅうじつ
じゅうじろ,jyuujiro,十字路,crossroads,十字路…じゅうじろ
じゅうたい,jyuutai,重体,seriously ill;serious condition;critical state,重体…じゅうたい
じゅうたい,jyuutai,渋滞,congestion (e.g. traffic);delay;stagnation,渋滞…じゅうたい
じゅうたく,jyuutaku,住宅,resident;housing,住宅…じゅうたく
じゅうたん,jyuutan,絨毯,carpet,絨毯…じゅうたん
じゅうだい,jyuudai,重大,important;weighty,重大…じゅうだい
じゅうてん,jyuuten,重点,important point;lay stress on;colon;emphasis,重点…じゅうてん
じゅうなん,jyuunan,柔軟,flexible;lithe,柔軟…じゅうなん
じゅうふく,jyuufuku,重複,duplication;repetition;overlapping;redundancy;restoration,重複…じゅうふく
じゅうふく,jyuufuku,重複,duplication;repetition;overlapping;redundancy;restoration,重複…じゅうふく
じゅうほう,jyuuhou,重宝,priceless treasure;convenience;usefulness,重宝…じゅうほう
じゅうみん,jyuumin,住民,citizens;inhabitants;residents;population,住民…じゅうみん
じゅうよう,jyuuyou,重要,important;momentous;essential;principal;major,重要…じゅうよう
じゅうらい,jyuurai,従来,up to now;so far;traditional,従来…じゅうらい
じゅうりょう,jyuuryou,重量,weight;heavyweight boxer,重量…じゅうりょう
じゅうりょく,jyuuryoku,重力,gravity,重力…じゅうりょく
じゅぎょう,jyugyou,授業,lesson;class work,授業…じゅぎょう
じゅく,jyuku,塾,coaching school;lessons,塾…じゅく
じゅくご,jyukugo,熟語,idiom;idiomatic phrase;kanji compound,熟語…じゅくご
じゅけん,jyuken,受験,taking an examination,受験…じゅけん
じゅつご,jyutsugo,述語,predicate,述語…じゅつご
じゅみょう,jyumyou,寿命,life span,寿命…じゅみょう
じゅもく,jyumoku,樹木,trees and shrubs;arbour,樹木…じゅもく
じゅよう,jyuyou,需要,demand;request,需要…じゅよう
じゅりつ,jyuritsu,樹立,establish;create,樹立…じゅりつ
じゅわき,jyuwaki,受話器,(telephone) receiver,受話器…じゅわき
じゅん,jyun,順,order;turn,順…じゅん
じゅんかん,jyunkan,循環,circulation;rotation;cycle,循環…じゅんかん
じゅんきゅう,jyunkyuu,準急,local express (train  slower than an express),準急…じゅんきゅう
じゅんさ,jyunsa,巡査,police;policeman,巡査…じゅんさ
じゅんじゅん,jyunjyun,順々,in order;in turn,順々…じゅんじゅん
じゅんじょ,jyunjyo,順序,order;sequence;procedure,順序…じゅんじょ
じゅんじょう,jyunjyou,純情,pure heart;naivete;self-sacrificing devotion,純情…じゅんじょう
じゅんじる,jyunjiru,準じる,to follow;to conform;to apply to,準じる…じゅんじる
じゅんすい,jyunsui,純粋,pure;true;genuine;unmixed,純粋…じゅんすい
じゅんずる,jyunzuru,準ずる,to apply correspondingly;to correspond to;to be proportionate to;to conform to,準ずる…じゅんずる
じゅんちょう,jyunchou,順調,favourable;doing well;O.K.;all right,順調…じゅんちょう
じゅんばん,jyunban,順番,turn (in line);order of things,順番…じゅんばん
じゆう,jiyuu,自由,freedom;liberty;as it pleases you,自由…じゆう
じょ,jyo,助,help;rescue;assistant,助…じょ
じょう,jyou,情,feelings;emotion;passion,情…じょう
じょう,jyou,畳,#¿NOMBRE?,畳…じょう
じょう,jyou,尉,jailer;old man;rank;company officer,尉…じょう
じょう,jyou,嬢,young woman,嬢…じょう
じょう,jyou,状,shape,状…じょう
じょう,jyou,畳,#¿NOMBRE?,畳…じょう
じょうい,jyoui,上位,superior (rank not class);higher order (e.g. byte);host computer (of connected device),上位…じょうい
じょうえん,jyouen,上演,performance (e.g. music),上演…じょうえん
じょうか,jyouka,城下,land near the castle,城下…じょうか
じょうかく,jyoukaku,乗客,passenger,乗客…じょうかく
じょうき,jyouki,蒸気,steam;vapour,蒸気…じょうき
じょうきゅう,jyoukyuu,上級,advanced level;high grade;senior,上級…じょうきゅう
じょうきょう,jyoukyou,上京,proceeding to the capital (Tokyo),上京…じょうきょう
じょうきょう,jyoukyou,状況,circumstances;situation,状況…じょうきょう
じょうぎ,jyougi,定規,(measuring) ruler,定規…じょうぎ
じょうくう,jyoukuu,上空,sky;the skies;high-altitude sky;upper air,上空…じょうくう
じょうけん,jyouken,条件,conditions;terms,条件…じょうけん
じょうし,jyoushi,上司,superior authorities;boss,上司…じょうし
じょうしき,jyoushiki,常識,common sense,常識…じょうしき
じょうしゃ,jyousha,乗車,taking a train;entraining,乗車…じょうしゃ
じょうしょ,jyousho,情緒,emotion;feeling,情緒…じょうしょ
じょうしょう,jyoushou,上昇,rising;ascending;climbing,上昇…じょうしょう
じょうじゅん,jyoujyun,上旬,first 10 days of month,上旬…じょうじゅん
じょうせい,jyousei,情勢,state of things;condition;situation,情勢…じょうせい
じょうたい,jyoutai,状態,condition;situation;circumstances;state,状態…じょうたい
じょうたつ,jyoutatsu,上達,improvement;advance;progress,上達…じょうたつ
じょうだん,jyoudan,冗談,jest;joke,冗談…じょうだん
じょうとう,jyoutou,上等,superiority;first class;very good,上等…じょうとう
じょうねつ,jyounetsu,情熱,passion;enthusiasm;zeal,情熱…じょうねつ
じょうはつ,jyouhatsu,蒸発,evaporation;unexplained disappearance,蒸発…じょうはつ
じょうひん,jyouhin,上品,elegant;refined;polished,上品…じょうひん
じょうふ,jyoufu,丈夫,1.  hero;gentleman;warrior;manly person; 2.  good health;robustness;strong;solid;durable,丈夫…じょうふ
じょうほ,jyouho,譲歩,concession;conciliation;compromise,譲歩…じょうほ
じょうほう,jyouhou,情報,information;(military) intelligence,情報…じょうほう
じょうやく,jyouyaku,条約,treaty;pact,条約…じょうやく
じょうりく,jyouriku,上陸,landing;disembarkation,上陸…じょうりく
じょうりゅう,jyouryuu,蒸留,distillation,蒸留…じょうりゅう
じょおう,jyoou,女王,queen,女王…じょおう
じょがい,jyogai,除外,exception;exclusion,除外…じょがい
じょきょうじゅ,jyokyoujyu,助教授,assistant professor,助教授…じょきょうじゅ
じょげん,jyogen,助言,advice;suggestion,助言…じょげん
じょこう,jyokou,徐行,going slowly,徐行…じょこう
じょし,jyoshi,女史,Ms.,女史…じょし
じょし,jyoshi,助詞,particle;postposition,助詞…じょし
じょしゅ,jyoshu,助手,helper;helpmeet;assistant;tutor,助手…じょしゅ
じょじょに,jyojyoni,徐々に,slowly;little by little;gradually;steadily;quietly,徐々に…じょじょに
じょせい,jyosei,女性,woman,女性…じょせい
じょどうし,jyodoushi,助動詞,auxiliary verb,助動詞…じょどうし
じょゆう,jyoyuu,女優,actress,女優…じょゆう
じりつ,jiritsu,自立,independence;self-reliance,自立…じりつ
じん,jin,人,man;person;people,人…じん
じん,jin,人,man;person;people,人…じん
じん,jin,人,man;person;people,人…じん
じん,jin,人,man;person;people,人…じん
じんえい,jinei,人影,man's shadow;soul,人影…じんえい
じんかく,jinkaku,人格,personality;character;individuality,人格…じんかく
じんこう,jinkou,人口,1.  population; 2.  common talk,人口…じんこう
じんこう,jinkou,人工,artificial;manmade;human work;human skill;artificiality,人工…じんこう
じんざい,jinzai,人材,man of talent,人材…じんざい
じんしゅ,jinshu,人種,race (of people),人種…じんしゅ
じんじ,jinji,人事,personnel affairs;human affairs,人事…じんじ
じんじゃ,jinjya,神社,Shinto shrine,神社…じんじゃ
じんせい,jinsei,人生,life (i.e. conception to death),人生…じんせい
じんそく,jinsoku,迅速,quick;fast;rapid;swift;prompt,迅速…じんそく
じんぞう,jinzou,人造,man-made;synthetic;artificial,人造…じんぞう
じんたい,jintai,人体,human body,人体…じんたい
じんぶつ,jinbutsu,人物,character;personality;person;man;personage;talented man,人物…じんぶつ
じんぶんかがく,jinbunkagaku,人文科学,social sciences;humanities,人文科学…じんぶんかがく
じんみん,jinmin,人民,people;public,人民…じんみん
じんめい,jinmei,人命,life,人命…じんめい
じんもく,jinmoku,人目,glimpse;public gaze,人目…じんもく
じんるい,jinrui,人類,mankind;humanity,人類…じんるい
す,su,巣,nest;rookery;breeding place;beehive;cobweb;den;haunt,巣…す
す,su,酢,vinegar,酢…す
すいえい,suiei,水泳,swimming,水泳…すいえい
すいき,suiki,水気,1.  moisture;dampness;vapor; 2.  dropsy;edema,水気…すいき
すいげん,suigen,水源,source of river;fountainhead,水源…すいげん
すいさん,suisan,水産,marine products;fisheries,水産…すいさん
すいしん,suishin,推進,propulsion;driving force,推進…すいしん
すいじ,suiji,炊事,cooking;culinary arts,炊事…すいじ
すいじゅん,suijyun,水準,water level;level;standard,水準…すいじゅん
すいじょうき,suijyouki,水蒸気,water vapour;steam,水蒸気…すいじょうき
すいせん,suisen,水洗,flushing,水洗…すいせん
